stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.97,0,0,0,0.28,0.28,0,0,0,0,0
21Day,6.29,0.74,0,0,0,0.74,0,0.74,14.8,3.33,1.11,0,0.37,0,0.37,0,0.74,0,0
3Month,4.26,0,0.21,0.21,0,0,0.62,0.31,0.1,0.52,0,0.1,0.1,0,0,0.1,0,0.21,0.1
22Month,0.41,0,0.27,1.5,0.14,0,0.27,0.14,0,0.27,0.14,0.14,0,0,0,0,0,0,0
