stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,1.11,0,1.48,0.74,0.37,0.37,0,0.74,0,0,0,1.85,0.74,3.33,0,0.74,0,1.48,0,0.37,1.11,111,0,0,0.37,0.37,0.37,0,0
3Month,0.1,0.1,0.83,0,0.1,0,0,2.08,0.62,0.1,0.62,0.1,0.1,0.21,0.1,0.21,0.21,0,0.1,0,0,58.98,0.31,0.1,0,0,0,0.1,0.52
22Month,0,0,0,0,0,0,0.14,0.96,0,0,0.14,0,0,0,0,0,0,0,0,0,0,7.93,0,0,0,0,0,0,0
