stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.21,0.1,0.21,0.73,0.21,0.42,0,0.21,0.21,0.21,0.1,0.1,0,6.14,0,0.21,1.04
22Month,0.14,0,0,0.14,1.09,0,0.68,0,0,0,0.14,0,0,0,0.14,0.14,0,0
