stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,0,0.28,0,0.28,1.13,0,1.97,0,0,0,0,0,0,0,0
21Day,3.7,0.37,0.74,9.25,0.37,2.22,0,0.74,0,0.37,0,0.37,0,0.37,0.74,0.74,3.7,1.85,80.66,0,32.56,0,4.44,2.59,0,2.22,3.33,0,0,0.37,0.74,0,0,0.74
3Month,0.1,3.02,0.1,6.66,0.1,0,0.52,0,0.1,1.35,0.1,2.91,1.04,0.1,1.25,0.21,3.74,0.52,46.6,0.52,5.51,0.31,0,0.1,0,0.31,0.52,0.83,0.21,0,0,0.1,0.31,1.25
22Month,0,0.27,0.14,1.09,0,0,0,0,0,1.37,0.14,1.23,0.27,0,0.41,0,0.27,0,9.43,0.27,1.23,0,0,0,0.27,0,0,0,0,0,0,0,0,0.14
