stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0.85,0,0,1.69,1.13,0,0.28,0,0.56,0
21Day,0,0.37,0.37,0.37,0,0,0,0,0.37,0.37,0,0.37,0,0.37,0.37,0.37,0,0.37,0,0.37,0
3Month,0,0,0,0,0.1,0.1,0,0.42,0.1,0.1,0,0,0,0,0,0.1,0,0,0.21,0.1,0.1
22Month,0,0,0.27,0,0,0.27,0.14,0.82,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0,0.14,0,0,0,0
