stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,2,0,3,0,0,2,0,0,1,1,0,21,1,0,0,0,0,0
72hpf,0.28,0.28,0.85,0.85,0.28,0,0,0.56,1.13,1.41,2.82,3.1,1.41,0.28,0,0,0,0
21Day,0,0,0,2.59,0.74,0,1.48,0,0.37,0.37,0.37,1.85,0.37,0.37,0,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.1
