stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0
72hpf,0.56,0,0.56,0,0,0,0,0,0,0,0,0.28,5.64,0,0,5.92,0.28,0,0,0,0,0
21Day,0,0,0,0.37,0.74,0,0,0,0.37,4.44,0,0.37,12.95,0.37,0,3.33,0.74,0,0.74,0.74,0,0
3Month,0,0.1,0.52,0,0,0.52,0,0.73,0.42,0.73,0.73,0.1,34.12,0.31,0.1,0,0,0.1,0,0.21,0.1,0.73
22Month,0,0,0.14,0,0,0,0.14,0.27,0.14,0.14,0.14,0.14,7.93,0.14,0,0,0,0,0,0.27,0,0.14
