stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,1.13,0,0,0,1.41,1.13,0.28,0,0,1.13,0.28,0,0.85,0,0,0
21Day,0.37,0.37,1.85,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,1.11,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0,0.21,4.58,0,0.1,0.1,0.1,0.31,0,5.51,0.1,0.52,0.73,0.31,0.94,0.42,0.62,0.21,0.1,0.1,0.1,0.1,0,0,0,0,0.21,1.46,0.1,0.42,0.73,0.21
22Month,0,0,0,0,0,0.14,0,0,0.14,1.23,0,0.14,0.27,0.14,0.14,0.27,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0
