stage,Epithelial_cell,Erythrocyte,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,1,0
72hpf,0.28,0.28,0,0,0,0,0,0.56,0,0
21Day,0.37,0.74,0,0,0.37,0,0.74,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.21
22Month,0,0,0.14,0.41,0,0.14,0,0,0,0
