stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,0,0,0,0,0
3Month,0.1,0,0.21,0.1,0,0,0.1,0.1
22Month,0.14,0.14,0.96,0,0,0.14,0,0
