stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3Month,0.1,0.21,0.1,0.31,0.31,0.31,0.21,0.52,0.1,0,0.1,0.1,0.31,0.21,1.35
