stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,57,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,10.99,0,0,0,0.85,0,0,0,2.82,0,0.28,0.28,13.53,1.13,0,0.28,0,0.85,2.25,0,0,0,0,0,0,0.28,0,0,0,0
21Day,1.11,0,0.37,2.59,0,5.55,0,2.96,0,3.7,0,1.11,0,35.52,0,0.37,0.37,35.52,2.59,0,0,0,3.33,3.7,0.37,0.37,0,2.22,1.85,0.37,0.74,0,0,0,35.89
3Month,0,0.62,0,3.02,0,0,0.1,0.1,0.1,12.27,0,3.43,1.25,1.14,1.77,0.1,1.04,25.69,0.83,0.21,0,0.31,0.21,0.21,0,0.1,0,0.1,0.42,3.95,0.1,0.1,0.52,1.35,29.85
22Month,0.14,0.27,0.14,1.5,0,0,0.55,0.27,0.14,61.49,0.55,5.47,1.78,3.01,0.96,0.14,0.41,34.71,1.23,0,0.27,0,0,0.14,0.14,0.14,0.14,0.14,0,2.32,0,0,0,0,14.21
