stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte
72hpf,0.56,0.28,0,0,0,0,0,0,0.28,7.05,0.28,0,0.28,0
21Day,0.37,0,0.37,0,0,0,0.37,0.37,0,4.44,0.37,0.37,0,0
3Month,0.31,0,0,0.21,0,0.21,0,0,0,0.1,0,0,0,0.42
22Month,0,0,0,0.41,0.14,0.14,0,0,0,0,0,0,0,0
