stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.41,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0.37,2.96,4.07,0.37,0,0.37,0.37,0,8.14,0,0.37,17.76,0,1.11,0,1.48,0,0.37,0.74,0,1.48,1.85,1.11,0,1.11,0,0.37,0,0,0.37
3Month,0,0.42,3.12,13.83,0,0.94,18.52,1.04,0,88.31,0.21,0,92.78,0.52,0.73,2.91,1.25,0.21,0.21,0.62,0.1,0.21,0.1,4.06,0.1,0.83,0.52,0,0.1,0.42,1.14
22Month,0,1.5,3.55,5.88,0,0.96,4.92,0.68,0.68,116.84,0.96,0.41,62.72,0.27,0.55,0.68,0.27,0,1.91,0.41,0,0,0,2.19,0,0.27,0.14,0.27,0,0,0.68
