stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0,7.33,1.69,0.56,0,0,0,0,0,0,0,0,0,0,0.85,3.1,0.56,7.33,0,0,0.28,99.77,36.36,0,4.23,0,9.02,0,0,36.92,0,0.56,8.17,0,0,0
21Day,0,0,7.4,0.37,0.37,0,0,0,0,0,0,0,0,0.74,1.11,0.74,2.59,0,4.44,0,0,0.74,25.16,13.69,0,1.85,0,0.74,1.48,0.37,11.1,0,0.37,2.96,0,0,0
3Month,0,0.42,1.14,0,0,0.1,0.1,0.1,0.21,0.62,0.1,3.74,0.62,0.52,1.04,0.42,1.98,0.42,8.63,0.42,0,0.94,0.42,0.42,0.1,0.94,0,0.1,0.31,4.16,0.83,0.1,0,0.73,0.1,4.78,0.1
22Month,0,0.14,1.09,0,0,0.14,0.14,0,0.41,1.23,0,5.88,0.14,0.55,0.68,0.14,0.41,0.27,4.92,0.14,0.14,0.14,1.5,0.68,0.55,0.41,0.14,0,0.14,5.06,1.5,0,0,0.27,0.14,0,0.14
