stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,1,0,0,0,0,0,0,4,0,0,0,0,2,3,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.56,0.28,0,0,0,0,0,0,0,0,0,1.13,2.25,0,0.85,0,0,0,0,3.95,1.13,0,0,0,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0,0,1.11,0.37,0,0,0,0,0,0,0,0,0.37,0,0,1.11,0,1.48,0,0,0.37,0,2.22,0.37,0,0,0,0.74,0.74,1.11,0.37,0.37,0,0,0,0
3Month,0,2.18,0.21,2.6,0.42,0,0,0.83,0.94,0,0,21.84,0.73,0,3.22,7.07,0.94,1.35,1.46,0.62,0.21,0.31,0.31,0.1,0,0.42,0.21,0,0.1,0.73,34.64,0.21,0,0,0.1,4.37,0.94
22Month,0.14,1.78,2.05,2.73,0,0,0.14,0.55,1.09,1.37,0,23.37,0.14,0.14,10.93,1.5,0,0.96,1.91,0,0.68,0.14,0,0.27,0,1.09,0,9.57,0.14,0.14,18.86,0.68,0,0,0,0,0.55
