stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.25,0.85,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,1.13,0,0,0,0,25.93,4.51,1.69,0.56,0,0,3.38,0.85,0,0.28,0,0
21Day,0,0,0,2.22,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0.37,0,12.21,1.85,0.74,1.11,0.74,1.11,2.22,0.37,0.37,0,0,0.37
3Month,0,0.31,0.31,16.23,0.31,0.1,0.1,0.62,0.62,0,0,1.66,0.21,0,2.91,1.25,1.56,0.31,0.73,0.1,0,0.42,0.31,2.18,0.1,4.06,0.1,0.1,2.81,1.46,0,0,0,5.51,0.52
22Month,0,0.41,0,3.42,0.55,0.14,0,0.27,0.68,0.14,0,6.01,0.27,0.14,1.78,0,0.41,0.14,0.27,0,0.27,0,0.14,0.55,0,2.6,0,0,2.46,5.33,0.14,0,0.14,0.14,0.14
