stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.85,0,0,0,0,1.97,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,2.22,0,0,0.37,0,0,0,0,0,0,0,0.37,0.74,0.74,4.07,0,0,0,0,1.48,0.74,0.37,0,0,0.37,0,0.37,0.37,0,0,0,0.74
3Month,0,0.94,0.21,14.56,0,0.1,0.1,1.46,7.39,0,6.87,6.97,0.83,3.85,0.52,6.55,4.26,8.84,4.78,0,0.21,0.94,0.62,0.21,0.73,0.42,0,0.42,0.73,44.83,0.21,0.1,1.56,65.32,10.51
22Month,0,1.23,0.41,5.74,0,0.27,0,0.96,6.15,1.64,17.08,1.23,0.41,8.75,0,0.82,4.78,5.74,0.41,1.09,0.41,0,0.27,0.14,0.14,0.55,0.14,0.82,0,11.89,0.68,0,0.27,0,2.05
