stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.13,0.28,0,0,0
21Day,0.74,0,31.45,0.37,0,0,0,0,0.74,0,1.85,0,0.74,0,0.37,0.37,0.37,0.37,0
3Month,0,0,15.71,0,0,0,1.35,0.1,0,0.1,1.14,0.1,0.21,0.1,0,0,0,0,0.21
22Month,0,0.14,0.82,0,0.14,0.14,0.96,0.14,0,0,0.14,0.14,0,0,0,0,0,0.14,0.27
