stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,8.63,0,0,1.98,0.31,0,0,1.66,0.73,0.73,0.1,0.94,0.21,0.62,0.1,0,0.1,0.1,0,0,0.1,0.21,0,0.31,0.21,0,0,0.21,0.42,0.31
22Month,0.55,2.19,0,0.14,0.14,1.09,0.55,0,6.42,0,0.68,0,0.41,1.09,0.41,0,0.41,0.14,0.14,0.14,0,0,0,5.47,0,0.14,0.14,0.27,0,0,0.41
