stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,11.56,0,0,0.85,0.56,0
21Day,0.37,9.99,0,0,0,0,0.37,0.37,0,25.16,2.59,0,0,0.37,0
3Month,0,5.82,0,0.1,0.21,0.31,0,0,0,0.94,0.94,0.1,0.1,0,0.21
22Month,0,0.27,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0
