stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,0.28,0,0.56,0.85,1.13,0,0,0,0,0,0,0,0,0.28,1.69,0.56,2.54,0,0,0,0,61.72,4.51,0,0,2.25,0,0.85,0,0
21Day,0,0,0,4.07,0,0.37,0.37,0,0,0,0.37,0,1.11,0.37,0,0.37,0.74,3.7,0,0,1.48,0,20.35,0,0,0,0.74,0.37,0,0,0
3Month,0.1,1.66,0.1,3.85,0,0,0,0.31,0.21,0,1.35,0.21,0,0.73,0.21,1.46,0.31,3.64,1.56,0,4.58,0.31,2.39,0,0,0.21,0.31,2.39,0,3.74,0.1
22Month,0.14,2.05,0.14,0.96,0,0,0,0.14,0.27,1.09,4.37,0,0,0.14,0,0.14,0.55,0.55,0,0.14,3.01,0,0.55,0,0.14,0,0.14,3.55,0,0,0
