stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0,1.13,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,2.96,0.74,0.74,0,0,0,0,0,1.11,0,0,1.85,1.48,1.48,0,0,0,0.74,0.37,0,0,0,0.37,0,0,0.37,0,0,0.74
3Month,0.1,0.52,0.1,9.05,0,0.21,1.87,0.83,0,4.47,1.56,0.42,4.37,0.42,2.08,2.5,1.35,0.1,0.73,0.52,0.42,0.1,0.94,0.1,0,0.1,0.31,1.87,0.1,0.94,1.14,5.72
22Month,0,0.82,0.27,2.46,0,0.14,0.27,1.37,0.27,5.19,0.55,0.27,4.51,0,0,3.14,1.09,0.14,0.55,0,0.27,0,0.27,0,0.27,0,0,0.41,0.14,0.27,0,1.23
