stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0.28,0,0.28,0,0,0,0
21Day,1.85,0,0.74,1.48,0.37,0,0,0,0,0,0,2.59,0.74,0,1.11,0.74,0.74,0,0.74,0.74,0.37,0,0,1.11
3Month,0,0,0,0.21,0,0,0,0,0.1,0,0,0,0.31,0,0,0.1,0,0,0,0,0,0,0.1,0
22Month,0,0.27,0,0.96,0,0.14,0.14,0.14,0.27,0.14,4.37,0.68,5.88,0,0.14,1.09,0.14,0,0.14,0,0,0.14,0,0.41
