stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,4.51,2.82,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,2.22,0,0,0,0,0,0,0,0.37,0,0.37,0,1.85,0.74,0,2.22,1.11,0,0,0.74,0,0.74,0,0,0,0
3Month,0,0.21,1.66,0.1,0,0.52,0.21,0,0.94,0,0,0.42,0.52,0.31,0.21,0.1,0.1,0,0,0,0.21,0,0.94,0,0,0.21,0.42,0.21
22Month,0.27,0.27,0.68,0,0.27,0.68,0.27,0.27,7.52,0.14,0.14,0.96,0.14,0.27,0.96,0.27,0,0,0,0.14,0,0,0,0.14,0,0.14,0,0.14
