stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0.56,0,2.82,1.13,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,1.11,0,0,0,0,0,0.37,0,0,0
3Month,0,1.04,0,0.21,2.08,0.21,0,0.31,0.83,0.42,0.73,0.1,0.1,0,0.21,0,0.1,0.83,0,0,0.21,7.49,0.21
22Month,0.14,0.27,0,0.14,0.41,0.27,0.14,0,0,0.14,0.55,0,0,0,0,0,0,0,0,0,0,0,0
