stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,1,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0.28,0.28
21Day,0,0.37,0,0,0.37,0.37,1.11,0,0.37,0,0
3Month,0.1,0,0.21,0,0,0,0,0,0,0,0
22Month,0,0,0,0.68,0,0,0.14,0,0,0,0
