stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,0,0,1.69,1.41,0.56,0,0,0,0,1.13,0,0,0
21Day,0,0,0.74,1.48,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.74,0.37,0,0,0
3Month,0.31,0.42,14.15,0.31,0.1,0.21,0.73,0.42,0.1,7.7,0.73,0.1,1.46,2.18,0.73,1.56,1.25,0.21,0.1,0.31,0.62,1.25,0,0.52,0.31,0.1,0.73,32.04,0.1,0.73,244.44,2.08
22Month,0,0,5.33,0,0,0,0.14,0,0,1.37,0,0,0.27,0.27,0,0.14,0,0,0.14,0,0.14,0.14,0,0.14,0,0,0.14,5.19,0.14,0,0.27,0.55
