stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.69,0,0.56,1.41,0,0,0,0,0,0,0,0,0,0,0,4.51,1.69,0,0,0,0,0,1.13,1.13,0.56,0,0,1.97,0,0,0.56,0,0,0
21Day,0,5.18,3.33,12.58,1.11,0.37,0,0,0,0.37,0,0,0,0,1.11,5.92,4.44,3.33,2.96,4.07,0,0,1.48,0.74,0.74,0.37,0,0,2.59,1.11,0.37,1.85,0,0,0.37
3Month,0,27.67,4.78,42.54,0.31,0,0.31,2.6,0.21,22.36,1.98,0,9.99,1.98,0.21,113.69,25.07,5.93,16.54,5.2,0.42,0,3.33,19.04,0.73,0.1,2.29,0.21,0.83,1.46,2.7,0.21,4.26,5.72,1.25
22Month,0.27,49.19,6.42,20.09,0.27,0,0.14,1.37,0,13.94,1.91,0.68,17.9,0.27,0.82,96.06,6.97,2.05,12.3,2.46,0,0.55,1.64,0.96,0.55,0,1.5,0.41,0.27,0,0.55,0,0.41,0,0.41
