stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,1.97,0.28,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,1.11,1.11,0.37,0,0.74,0,0,0,0
3Month,0.1,0.1,0.1,0.21,0.1,0.1,0.62,0,0,0.1,0.21,0.21,0.42,0.1,0.1,0.21,0.1,0,4.37,0,0.1,0,0.52,0
22Month,0,0,0,0,0,0.14,1.23,0.14,0.14,0,0,0.82,0.27,0,0,0,0.14,0,1.37,0,0,0.14,0,0.68
