stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,3.7,0,2.59,0,1.11,0,0.37,0,0.74,0,1.11,0.37,1.11,0.74,1.11,1.48,0,0,0,0,2.96,0.74,0.37,0.37,0,1.11,0,0,0,0.37,0,0,0
3Month,0.21,0.83,0.21,11.34,0,0,0.83,0,5.51,8.53,0,19.56,3.22,0.52,11.55,0.83,1.14,3.64,0.94,0,0,7.8,0.21,2.39,0,1.46,0.31,0,0,0.42,1.46,0,0,0.31,0.21,0.62
22Month,0,1.37,0.55,4.51,0.14,0,0.68,0.14,2.73,6.97,28.56,52.75,0.96,0.82,14.48,0.27,0.27,2.87,1.23,0.14,0.82,3.01,0,1.09,0,1.37,0,0.27,0,0,1.09,0.14,0,0,0,0
