stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
72hpf,0,0,1.13,0.28,0.28,0,0,0.28,1.41,1.41,0.28,0.28,0,0,0,0
21Day,0.37,0.37,4.81,0,0.74,0,0,0,2.22,2.59,0,0,0.37,0.37,0,0
3Month,0,0,0.83,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.1
