stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
72hpf,3.1,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0.56,0,0.28,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.31,0.1,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0.62,0,0.1,0.42,0.31
22Month,0,0,0,0,0.27,0.27,0.14,0,0,0,0,0,0,0,0,0,0.14,0,0
