stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0,0,0,6.76,0.28,0,0,0.56,0,0,1.69,4.23,0,0,0
21Day,0,0,0,2.96,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0.37,0.74,1.11,0,0,0,0,3.7,0.74,0,0.37,1.11,0.37,0,17.39,98.42,0,0,0
3Month,0,0.21,0.1,2.18,0,0,0.21,0,1.77,0.21,0,3.43,0.21,0,4.78,0,0.52,0.94,0.73,0.1,0,0.1,0.1,0.1,0,0.1,0.21,0,0.21,0.94,0.1,0,0.31,0.31,0.52
22Month,0.14,0.55,1.37,2.05,0.14,0,0.14,0,4.24,2.87,0.41,28.01,0.68,0.55,13.25,0.27,0.27,2.05,1.64,0,0.68,0.27,0,0,0.14,0.14,0,0,0.27,0.82,0.41,0.14,0,0,0.27
