stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,4.81,0,0,0,0,0,0,0,0.74,0,0.37,0,0.37,1.11,0,0,0,0,0,0.74,0,0,0.37,0,0,0,0,1.11
3Month,0,0.1,0,17.06,0,0.1,0.1,0.21,0,1.66,0.31,0.42,0.42,1.66,9.67,0.94,0.31,0.1,0,0.1,0.21,0.1,0.21,0.21,0,0,0,0.1,1.04,0.31,2.39
22Month,0,0.14,0.14,4.37,0,0.14,0,0.14,0.27,2.32,0,0,0.55,0.55,2.46,0.55,0.27,0,0.14,0,0,0,0.14,0.14,0,0,0.14,0,0,0,0.82
