stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,7.33,0.28,0
21Day,0,0,0,0,0,0,0,0.37,0,0,9.25,0,0
3Month,0.21,0.1,0.1,0,0.31,0.1,0.1,0.21,0,0,0.21,0,0.1
22Month,0.41,0,0.55,0.14,3.96,0,0.14,0.55,0.27,0,0.41,0,0
