stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.56,0,0.56,0,0,0,0,6.2,2.25,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0.74,0,2.59,1.11,0.37,0,0,0.37,0,0.37,0,0.37,32.56,0,0.74,0.37,3.33,0,0,0.37,0.37,2.96,0.37,0.37,0.37,0.74,0,0.37,0.37,0.37,0,0,0.74
3Month,0.1,0.42,2.39,6.35,0,0.83,5.1,1.04,0,7.7,1.14,0,220.41,0.21,1.56,1.66,2.08,0.42,0.1,4.16,0.31,0.21,0,3.22,0.21,1.04,1.35,0,0,0,0.42,1.14,0.83
22Month,0,0.41,1.64,1.37,0,0.14,3.83,0.82,0.27,11.75,0.27,0,181.47,0,0.14,0.55,0.96,0.41,0.68,3.01,0,0.41,0.14,0.82,0.27,0,0.14,0,0,0,0,0,0.14
