stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,12,174,0,1,0,0,0,0,0,0,0
72hpf,1.69,0,0.28,0,0.56,0.56,0,0,0,0,0,0,0,1.13,0,0.85,0,43.12,24.24,0,0.85,0,0,1.13,0,0.28,0,0
21Day,0.37,0.37,2.59,0,2.22,0,0.37,0,0.37,0,0.37,0.74,0,1.48,0.37,2.96,0,46.25,22.2,0.37,1.11,2.59,0,1.48,0.37,0.37,0,0
3Month,0,0.1,0.42,0,0,0,0.1,0,1.14,0.21,0,0.1,0,0,0.1,0,0,0.73,0,0,0,0,5.3,0.1,0,0,2.18,0
22Month,0,0,0.27,0,0,0,0.14,0.55,0.96,0.14,0.14,0.27,0,0,0.27,0.14,0.27,0.96,0.27,0.27,0,0,3.96,0.27,0,0,0,0.14
