stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,6.48,1.69,0.28,0,0,0.56,0,0
21Day,0,0.74,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,4.07,1.48,0.37,0.37,0,0,0,0
3Month,0,0.73,6.45,0.1,0.31,0.42,1.35,0.1,0.1,0.21,0,0.21,0,0.31,0.21,0.21,0,0.31,0,2.91,0,0.21,0.83
22Month,0,0.68,0.96,0.14,0.14,0.27,2.6,0,0,0.55,0,0,0.27,0.14,0,0,0.14,0.82,0,0.68,0,0,0
