stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0.28,0,1.13,1.69,0.56,0,0,0.28,2.25,4.51,0,0
21Day,0,0,1.11,0.37,0.37,0,0,0.37,0.37,0,0,0,0,0.74,0,1.11,0,0,0,1.48,0,0.37,0.37,0,0.37,16.28,72.15,0,0.37
3Month,0,0.1,0.62,0,0,0.1,0.21,0,0.42,0,0.1,0.21,0.1,0.73,0.1,0.1,0.21,0,0.1,0.52,0.1,0,0,2.39,0,0,0,1.35,0
22Month,0,0,2.05,0,0,0,0.41,0.68,7.11,0.27,0,0.68,0,0.27,0.14,1.37,0,0.27,0,0,0,0.14,0,1.23,0,0,0,0,0
