stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,1,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,25.65,1.13,0.85,0,0,0.28,0
21Day,0.37,0.37,0,0.74,0.37,0.37,0.74,1.48,0.37,0.74,23.31,1.11,0.37,0.74,0,2.22,9.99
3Month,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.1,0,0
