stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,4,0,5,21,0,0,0,0,8,69,0,0,2,0,0,0,0,0,1,0,0,0
72hpf,2.82,0.28,0,1.69,0.85,0,0,0,0,0,0,0,0,0,0,0,1.69,3.38,0,7.33,0,0.85,0,0.28,26.21,16.07,0,0,9.3,0,0,5.92,0,0.28,0.56,0,0,0
21Day,2.59,0,0.37,4.07,0,1.11,0,0,0,0,0,0,0.37,0,1.11,0.37,1.11,2.96,0,10.73,0,0,0.74,0,7.77,13.32,0,1.11,8.14,1.48,0,1.48,0.37,0.37,0.37,0,0,1.48
3Month,0.42,0.73,1.25,15.81,0.42,0,0.31,1.35,2.39,2.39,0,0,5.2,2.7,0.31,22.99,1.04,4.68,3.43,9.57,7.59,0,3.85,1.46,1.25,0.73,1.25,0.31,1.04,0.73,0.73,0.83,0,0,0.31,2.6,0.42,2.6
22Month,0,0.41,1.09,5.74,0.41,0,0.14,0,1.5,2.19,2.87,0,11.62,1.37,0.96,13.12,0.41,0.14,3.69,0.82,0.27,0,0.96,0.27,0.55,0.96,1.5,0,0.14,0,0,1.23,0.14,0,0,0,0,0.96
