stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,15,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,1.69,0,0.56,0,0,0,0,0,0,0,0,0.85,1.97,0,6.48,0,0.28,271.14,7.89,0.28,0,5.36,0,0,1.41,0,0.28,0,0
21Day,1.11,0,1.11,0.37,1.85,0.74,0,0,0.37,0,0.37,0,0.74,0.37,1.11,0,15.91,0.37,0,83.25,4.07,0,0.37,2.22,2.96,0,0.37,1.11,0.37,0.74,0
3Month,0.1,0,1.14,0,0,0,0.1,0.1,0,0.83,0.21,0,0.31,1.66,0.62,0.21,1.56,0.31,0.1,6.14,0,0.52,0,0.1,0,0.21,0,0,0,0.1,0.42
22Month,0,0,0.55,0,0,0,0.14,0.82,0.27,4.51,0,0.27,0.82,0.27,0.14,0.27,1.09,0.14,0,2.05,0,0,0.14,0,0,0.41,0.27,0,0,0,0
