stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,1.11,1.85,0,0.37,0.37,0,0,0.37,0,58.46,0.37,1.48,7.03,2.96,0,0,0.37,0,5.92,1.11,0.37,1.11,1.48,0.37,0,0.37,0,0.37,0,0,12.58
3Month,0,0.1,0.1,0.21,0,0,0.1,0.1,0.42,0,0.73,0.31,0.42,0.52,0.62,4.16,0.31,0.1,0,0,0.1,0,0,0.1,0,0,0,1.77,0,0,0,0.31,0.42,14.56
22Month,0,0.14,0,0,0,0.14,0,0,0.14,0.14,0.68,0.27,0,0.27,0.14,2.87,0.14,0,0.14,0.14,0.14,0,0,0,0,0,0,4.92,0,0.14,0,0,0,9.57
