stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.74,0,0,0,9.99,0.37,0.37,0.37,0,0,0.37,0,0.37,0
3Month,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0
22Month,0,0,0.14,0.96,0.14,0,0,0,0,0.14,0,0,0.14,0,0.14
