stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0.37,0,0,0,0
3Month,0,0.83,0,0,0.1,0.21,0,0,8.43,0.52,0,0.94,0.1,0.21,0.31,0.1,0.1,0.1,0,0.1,0.31,0.21,0.1
22Month,0.14,0.55,0,0.27,0,0,0.55,0.14,8.47,0.14,0.14,1.37,0,0,0,0.27,0.14,0,0,0,0,0.14,0
