stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,1.69,0,0,0,0,0.56,0,1.13,0,0.28,2.82,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0.74,0.37,0,2.59,0
3Month,0,0,0.1,0,0,0,0,0,0.1,0.21,0,0,0,0.1
22Month,0,0,0,0.14,0.14,1.09,0.14,0,0,0.41,0,0,0,0
