stage,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0.28,0,0,0,0,0
21Day,0,0.37,1.11,0,0,0,0,0,0.37,28.86,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0,0,0.1,0.1,0.62,0.1,0.1,0,8.95,0,0.31,0.1,0,0.1,0,0.1,0.1,0.21
22Month,0.14,0,0,0,0,0.82,0,0.14,0,3.96,0.14,0.14,0.14,0,0,0,0,0,0.14
