stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Mt_rich_cell
21Day,0,0,0,0.74,0
3Month,0,0.1,0.1,0.52,0
22Month,0.14,0,3.83,0,0.55
