stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,1.41,1.13,0,1.69,0,0,0.28,0,0,0,0,0,0.56,3.66,0.85,3.1,0,0,0,158.12,6.48,0.28,0,5.92,0.28,0,2.82,0,0.28,0.28,0,0,0
21Day,3.33,0.74,5.18,0.37,2.96,0.37,0.37,0.37,0,0.37,0,1.11,0.37,0.37,4.07,5.92,5.92,0,0,0,145.77,3.7,0.37,0.37,2.22,1.48,0,0.74,0.37,1.11,0.37,0,0,0
3Month,0,0.1,0.94,0,0,0,0,0.21,0.1,0.94,0.21,0,0.42,0.1,0.31,0.42,0,0.1,0.21,0.31,11.55,0,0.1,0.1,0,0,0.1,0,0,0,0,0.21,0.1,0.31
22Month,0.14,0.14,0.27,0.27,0,0,0,0.68,0.14,4.78,0.27,0,0.27,0,0,2.6,0.68,0,0,0,12.85,0,0,0,0,0,0.14,0,0,0,0,0,0,0.27
