stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
21Day,0,0,0,0.37,0,0.37,1.11,0
3Month,0.1,0.31,0.1,0,0.42,0,0,6.03
