stage,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,3.38,0,0.28,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,1.48,0.37,0,0.37,0,0
3Month,0.21,0,0,0.62,0.31,0.21,0.21,0.52,0,0.1,0.21,0,0.1,0.21,4.37,0.94
22Month,0.14,0,0.14,0.82,0,0.14,0.14,0,0.14,0.14,0,0,0,0,0.82,0
