stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,13,126,0,0,0,0,0,0,1,1,0,46,0,0,75,0,10,0,0,0
72hpf,2.54,25.08,1.41,0.56,0,0,0,0,0,58.34,0,38.05,0,5.07,2.25,0,9.86,0,0.28,0
21Day,1.85,41.44,0.37,0.74,0.37,0.37,0.37,0.37,0.37,25.53,0.37,37,0.74,1.85,0.74,0.37,9.62,1.48,0.37,0.74
3Month,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0
