stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0.28,2.82,0.28,0.28,0,0,14.09,2.82,0,0,0,0,0.28,0.28,0,0.28,0,0,0
21Day,0.74,0.74,0,10.36,0.37,0.37,0,0,0,0,0,0.37,0.74,3.33,0,1.85,0,1.11,18.87,2.22,0,0,0.37,0.74,0.37,0,0.37,0,0,0,0.37
3Month,0,1.46,0.1,14.35,0.1,0,0.1,0.52,0.83,0.52,0.1,0.52,0.52,15.39,0.31,0.83,0,0.62,0.31,0.1,0.42,0.31,0.1,0.42,3.12,0.31,0,0,0.94,5.51,0.21
22Month,0,1.09,0.14,1.5,0,0,0,0,0.68,0.14,0,0.41,0,1.37,0,0.14,0.27,0,0.14,0,1.23,0.14,0,0.14,1.23,0,0,0,0,0,0.14
