stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,2,0,17,4,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0,3,334,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,29.59,3.66,0.85,0,0.28,0,0,0,0,0,0,0.85,2.25,0,5.07,0,0,0,34.1,27.34,0.56,0,4.51,0,0,0,2.82,0,0,0,0,0
21Day,0.74,0,0.37,9.99,0,0,0,0,0,0,0,0,0,0,0,0.74,0,2.59,0,0,0,9.99,6.66,0.37,0,2.22,0.74,0,1.85,2.59,0,1.48,0.37,0.37,0.37
3Month,0,0.1,0.1,3.02,0.21,0,0.1,0,0.31,0.73,0,2.39,0.52,0.42,0.1,0.83,0.31,0.83,0.1,0.1,0.1,0.1,0.31,0.73,0.1,0,0.42,0.1,42.65,1.14,0,0,0.1,12.48,0.42
22Month,0,0.14,0,0.41,0,0,0,0,0,0.27,0,1.37,0,0,0,0.14,0,0.41,0,0,0,0.14,0,0,0.14,0,0,0,6.42,2.19,0.14,0,0.14,0,0.14
