stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.73,5.51,0.31,0.62,1.46,0.1,6.03,0.94,0,1.56,0.21,1.04,1.04,1.25,0.62,0.21,0.21,34.85,0.52,0.21,0.1,0.1,0.94,0.83,0.31,0.21,0.94
22Month,0.14,0,0.14,0,0,0,0.27,0,2.46,0,0.14,0.41,0,0,0.14,0.14,0,0.14,0,0.82,0,0,0,0,0,1.64,0,0,0
