stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.28,0,2.25,0.28,0,0,0,0,0,1.97,0.28,3.38,0,0.28,0.28,0,275.93,34.39,0.85,0,3.1,0,0,2.82,0.28,0.28,0,0,0
21Day,1.11,0,0.37,1.85,0,1.85,0,0,0,0.37,0,0.37,0,0,1.11,0,0,0.74,0,95.83,19.24,0.37,0.74,1.85,1.11,0,0.74,0.74,0,0,0,0.37
3Month,0,0,0.1,1.14,0.1,0,0.1,0.31,0.31,3.22,0.31,0.73,0.42,0.1,0.31,0.1,0,0.1,0.1,0.1,0.1,0.21,0,0,0,0.62,0,0,0,0.1,0.1,0.42
22Month,0,0.27,0,0.68,0,0,0,0,1.23,12.57,0.55,0.68,0.14,0.55,0.41,0.27,0.41,0.14,0,0.27,0,0,0.14,0,0.14,0.14,0.27,0,0,0,0,0.14
