stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,1.13,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0.37,0,0,4.07,0,0,0,0.37,0.74,0.37,0,0,0,0.74,1.48,0,0,0,0,9.25,0,0,0,0,0,0,0.74
3Month,0.1,0,0.1,0,0,0,0,1.04,0.1,0.1,0.1,0.1,0,0.52,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0.62,0.21,0,0,0,0.1,0.1,0.52
22Month,1.5,0.41,3.28,0.41,0,0.41,3.42,82.81,1.78,2.46,0.82,0.41,0.55,18.99,2.05,0,0.96,0.55,0.14,0.27,0,0.27,0.96,1.78,0,0.41,0.14,0.27,0.68,0.14,0,0,3.01
