stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,4.23,0.56,0,0,0.28
21Day,0,0,0,0,0,0,0,1.48,0,0,0,0
3Month,0.42,0,0.31,0.1,0,0.21,0.1,0,0,0.1,0.1,0
22Month,0,0.14,0.27,0,0.14,0,0,0,0,0.14,0,0
