stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,1.41,1.13,0,0,0,0,0,0,0,0,0.28,0.85,0,1.13,0,0,106.82,2.54,2.25,4.51,0.28,0,0.56,0,0.28,0,0,0
21Day,1.11,1.11,0,0.37,0.37,0,0,0,0.37,0,0.37,0,0,0.37,0.74,1.85,0,0.37,37.37,0.37,4.07,8.88,1.48,0,0.74,0.74,0,0,0,0.37
3Month,0,0.31,0,0,0,1.04,0.31,0.42,1.25,0.31,0.1,0.42,0,0.31,0.52,4.06,0,0.21,0.62,0,2.7,0.1,0.1,14.15,0.1,0,0.1,0.1,25.38,0.31
22Month,0,0.14,0,0,0,0,0.14,0.14,3.28,0.14,0,0,0,0,0,3.01,0.27,0,0.68,0,4.51,0,0,2.19,0,0,0,0,0,0
