stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Nephron_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.21,0.1,0.52,0.1,0,0.1,0,6.97,0.1,4.06,0.1
22Month,0,0,0.14,0,0,0,0,0.27,0,0,0
