stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,1,0
72hpf,0.28,0,0.56,0.28,0.28,0,0,0,0,0,0.85,1.41,0.28,1.69,0,0,29.03,0.28,0.56,8.17,0,0,0.28,0,0,0,0
21Day,0.74,0.37,0.37,0,1.11,0,0,0,0.37,0,0,0.37,0,5.18,0.74,0,24.05,2.59,0,8.51,1.85,0,0.74,0.37,0.37,0,0
3Month,0,0,0.31,0,0,0,0.52,0.1,0,0.21,0,0.21,0,0.21,0.1,0.21,0.1,0,0,0,0.1,0.1,0,0,0,0,0
22Month,0,0,0,0,0,0.14,2.32,0.14,0,0.27,0,0.14,0.14,0,0,0,0,0,0.14,0,0.14,0.14,0.14,0,0,0,0.14
