stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Oligodendrocyte
24hpf,0,0,0,0,0,0,3,0,0,0
21Day,0,0,0,0,0,0,2.96,0,0,0
3Month,0,0.1,0,0.1,0,0.1,3.22,0.21,0.1,0
22Month,0.14,0,0.41,0.68,0.14,0.27,15.85,0.27,0,0.27
