stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0.85,0,0.28,0.56,0,0,0,0,0.56,3.1,0.28,0.28,6.48,1.69,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0.37,0,3.33,0,0.37,0.37,0.74,0,0.37
3Month,0,0,0,0,0,0,0.21,0.1,0,0,0,0,0,0,0,0.21,0,0.1,0
22Month,0,0.14,0,0,0.14,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0
